,Square/Suffix/,Premise Address,Owner Name,Neighborhood,Sub-Neighborhood,Use Code,Sale Price,Recordation Date,2020 Total Assessment,new_adress,location,point,latitude,longitude,altitude
40,5806 0817,1213 TALBERT ST SE,MELANI N DOUGLASS,BARRY FARMS,,11.0,0.0,,255260,"1213 TALBERT ST SE, DC, United States","1213, Talbert Street Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.862403, -76.9920339448148, 0.0)",38.862403,-76.9920339448148,0.0
41,5809 0011,1451 MORRIS RD SE,ROBERT D ALSTON,BARRY FARMS,,11.0,0.0,2007-12-10 00:00:00,256020,"1451 MORRIS RD SE, DC, United States","1451, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.85924935, -76.98690274623603, 0.0)",38.85924935,-76.98690274623603,0.0
42,5809 0036,HOWARD RD SE,JAMES G PATTERSON,BARRY FARMS,,91.0,0.0,1953-09-15 00:00:00,108490,"HOWARD RD SE, DC, United States","Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8633086, -76.9964696, 0.0)",38.8633086,-76.9964696,0.0
43,5809 0037,2524 WEST ST SE,DISTRICT PROPERTIES.COM INC,BARRY FARMS,,91.0,9000.0,2019-12-24 00:00:00,108460,"2524 WEST ST SE, DC, United States","2524, West Street Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.85980670886669, -76.98805936998126, 0.0)",38.85980670886669,-76.98805936998126,0.0
44,5809 0043,2514 WEST ST SE,HIP WEST STREET PARTNERS LLC,BARRY FARMS,,91.0,0.0,2019-01-28 00:00:00,128870,"2514 WEST ST SE, DC, United States","2514, West Street Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.859867965106226, -76.98799331918383, 0.0)",38.859867965106226,-76.98799331918383,0.0
45,5809 0044,2512 WEST ST SE,HIP WEST STREET PARTNERS LLC,BARRY FARMS,,91.0,0.0,2019-01-28 00:00:00,128870,"2512 WEST ST SE, DC, United States","2512, West Street Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.85988097009105, -76.9879808450147, 0.0)",38.85988097009105,-76.9879808450147,0.0
46,5809 0045,2502 WEST ST SE,DISTRICT PROPERTIES.COM INC,BARRY FARMS,,91.0,0.0,2019-03-26 00:00:00,128750,"2502 WEST ST SE, DC, United States","2502, West Street Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.85994599501518, -76.98791847416912, 0.0)",38.85994599501518,-76.98791847416912,0.0
47,5809 0050,1415 MORRIS RD SE,JH HOLDINGS LLC,BARRY FARMS,,91.0,0.0,2018-06-20 00:00:00,40640,"1415 MORRIS RD SE, DC, United States","1415, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.859749239928625, -76.98750710745357, 0.0)",38.859749239928625,-76.98750710745357,0.0
48,5809 0051,WEST ST SE,W D NAYLOR,BARRY FARMS,,91.0,0.0,,213930,"WEST ST SE, DC, United States","W Street Southeast, Fairfax Village, Washington, District of Columbia, 20020, United States of America","(38.86305, -76.950763, 0.0)",38.86305,-76.950763,0.0
49,5809 0052,2522 WEST ST SE,DENNIS F CRAIG II,BARRY FARMS,,12.0,485000.0,2020-02-05 00:00:00,512290,"2522 WEST ST SE, DC, United States","2522, West Street Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.859413450000005, -76.98835063676472, 0.0)",38.859413450000005,-76.98835063676472,0.0
50,5809 0053,2520 WEST ST SE,JOHNNIE M TREADWELL,BARRY FARMS,,12.0,229000.0,2012-07-20 00:00:00,309090,"2520 WEST ST SE, DC, United States","2520, West Street Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.85946835, -76.98828799667477, 0.0)",38.85946835,-76.98828799667477,0.0
51,5809 0054,1427 MORRIS RD SE,GAINIAT A RUFAI,BARRY FARMS,,24.0,0.0,2012-09-13 00:00:00,219960,"1427 MORRIS RD SE, DC, United States","1427, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.85947295, -76.98720358193815, 0.0)",38.85947295,-76.98720358193815,0.0
52,5809 0061,1453 MORRIS RD SE,THELMA B WILLIAMS,BARRY FARMS,,11.0,0.0,1991-05-03 00:00:00,206500,"1453 MORRIS RD SE, DC, United States","1453, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.85923065, -76.98682420081876, 0.0)",38.85923065,-76.98682420081876,0.0
53,5809 0062,1455 MORRIS RD SE,ROBBIE ROBERTS,BARRY FARMS,,11.0,0.0,,197690,"1455 MORRIS RD SE, DC, United States","1455, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.859200349999995, -76.98678300370213, 0.0)",38.859200349999995,-76.98678300370213,0.0
54,5809 0063,1457 MORRIS RD SE,M S MILLER,BARRY FARMS,,11.0,0.0,,198920,"1457 MORRIS RD SE, DC, United States","1457, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.8591715, -76.98674158052373, 0.0)",38.8591715,-76.98674158052373,0.0
55,5809 0064,1459 MORRIS RD SE,D AND E DEVELOPMENTS LLC,BARRY FARMS,,11.0,245000.0,2019-04-24 00:00:00,204480,"1459 MORRIS RD SE, DC, United States","1459, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.8591415, -76.9866997823421, 0.0)",38.8591415,-76.9866997823421,0.0
56,5809 0065,1461 MORRIS RD SE,AYANNIE M PEAKS,BARRY FARMS,,11.0,139000.0,2010-11-30 00:00:00,237230,"1461 MORRIS RD SE, DC, United States","1461, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.8591123, -76.98665863145598, 0.0)",38.8591123,-76.98665863145598,0.0
57,5809 0066,1463 MORRIS RD SE,WALTER H BELL,BARRY FARMS,,11.0,0.0,,220500,"1463 MORRIS RD SE, DC, United States","1463, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.8590644, -76.98663409935898, 0.0)",38.8590644,-76.98663409935898,0.0
58,5809 0067,1465 MORRIS RD SE,JONI L EVANS,BARRY FARMS,,11.0,167500.0,2013-11-05 00:00:00,236800,"1465 MORRIS RD SE, DC, United States","1465, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.8590452, -76.98658262007959, 0.0)",38.8590452,-76.98658262007959,0.0
59,5809 0068,1467 MORRIS RD SE,ANITA D BROWN,BARRY FARMS,,11.0,0.0,2017-12-01 00:00:00,201280,"1467 MORRIS RD SE, DC, United States","1467, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.8590243, -76.9865320944395, 0.0)",38.8590243,-76.9865320944395,0.0
60,5809 0069,1469 MORRIS RD SE,KATHERINE KEILMAN,BARRY FARMS,,11.0,382000.0,2020-04-06 00:00:00,210640,"1469 MORRIS RD SE, DC, United States","1469, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.858995300000004, -76.98649049500426, 0.0)",38.858995300000004,-76.98649049500426,0.0
61,5809 0070,1471 MORRIS RD SE,ALFRED O WALKER,BARRY FARMS,,11.0,0.0,,197480,"1471 MORRIS RD SE, DC, United States","1471, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.8589638, -76.98645177903282, 0.0)",38.8589638,-76.98645177903282,0.0
62,5809 0071,1473 MORRIS RD SE,DENISE V JOHNSON,BARRY FARMS,,11.0,148500.0,2010-02-26 00:00:00,202950,"1473 MORRIS RD SE, DC, United States","1473, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.8589361, -76.98640855693021, 0.0)",38.8589361,-76.98640855693021,0.0
63,5809 0072,1475 MORRIS RD SE,FRANCES H ROOTS,BARRY FARMS,,11.0,206500.0,2006-09-19 00:00:00,234920,"1475 MORRIS RD SE, DC, United States","1475, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.85890315, -76.9863676625808, 0.0)",38.85890315,-76.9863676625808,0.0
64,5809 0073,1477 MORRIS RD SE,JAMILA A THOMPSON,BARRY FARMS,,11.0,390000.0,2018-12-20 00:00:00,395670,"1477 MORRIS RD SE, DC, United States","1477, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.858873, -76.98632844001432, 0.0)",38.858873,-76.98632844001432,0.0
65,5809 0074,1479 MORRIS RD SE,REGINALD H MILLER,BARRY FARMS,,11.0,0.0,1983-06-14 00:00:00,206840,"1479 MORRIS RD SE, DC, United States","1479, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.85884575, -76.9862853144656, 0.0)",38.85884575,-76.9862853144656,0.0
66,5809 0075,1481 MORRIS RD SE,ERNEST W JENKINS SR,BARRY FARMS,,11.0,43000.0,2005-11-29 00:00:00,209620,"1481 MORRIS RD SE, DC, United States","1481, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.858815899999996, -76.98624244461942, 0.0)",38.858815899999996,-76.98624244461942,0.0
67,5809 0076,1483 MORRIS RD SE,TAHIR A KAIYUM,BARRY FARMS,,11.0,162000.0,2005-01-12 00:00:00,205790,"1483 MORRIS RD SE, DC, United States","1483, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.858785600000004, -76.98620146620313, 0.0)",38.858785600000004,-76.98620146620313,0.0
68,5809 0077,1485 MORRIS RD SE,NELLIE T JONES,BARRY FARMS,,11.0,0.0,,220250,"1485 MORRIS RD SE, DC, United States","1485, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.858749450000005, -76.98616843425435, 0.0)",38.858749450000005,-76.98616843425435,0.0
69,5809 0078,1487 MORRIS RD SE,TANGELA N EDWARDS,BARRY FARMS,,11.0,133000.0,2012-03-23 00:00:00,260980,"1487 MORRIS RD SE, DC, United States","1487, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.8587201, -76.98612504048106, 0.0)",38.8587201,-76.98612504048106,0.0
70,5809 0079,1489 MORRIS RD SE,AMANDA ROACH,BARRY FARMS,,11.0,265000.0,2018-12-17 00:00:00,204520,"1489 MORRIS RD SE, DC, United States","1489, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.8586971, -76.98607636719092, 0.0)",38.8586971,-76.98607636719092,0.0
71,5809 0080,1491 MORRIS RD SE,JULIE G PLUSH,BARRY FARMS,,11.0,0.0,2018-12-18 00:00:00,213440,"1491 MORRIS RD SE, DC, United States","1491, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.8586543, -76.98605010996403, 0.0)",38.8586543,-76.98605010996403,0.0
72,5809 0081,1493 MORRIS RD SE,DOROTHY VAUSS,BARRY FARMS,,11.0,0.0,1999-04-06 00:00:00,238860,"1493 MORRIS RD SE, DC, United States","1493, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.858615099999994, -76.98601469601113, 0.0)",38.858615099999994,-76.98601469601113,0.0
73,5809 0082,1431 MORRIS RD SE,NIKITIAMA MANAGEMENT LLC,BARRY FARMS,,23.0,500000.0,2019-10-03 00:00:00,466430,"1431 MORRIS RD SE, DC, United States","1431, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.8594242, -76.98714625022862, 0.0)",38.8594242,-76.98714625022862,0.0
74,5809 0083,1435 MORRIS RD SE,BRANDT TINGEN,BARRY FARMS,,23.0,330000.0,2015-08-17 00:00:00,331870,"1435 MORRIS RD SE, DC, United States","1435, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.85936435, -76.98706242098268, 0.0)",38.85936435,-76.98706242098268,0.0
75,5809 0084,1439 MORRIS RD SE,JEE Y OH,BARRY FARMS,,23.0,390000.0,2019-02-04 00:00:00,441100,"1439 MORRIS RD SE, DC, United States","1439, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.8593068, -76.98698048478468, 0.0)",38.8593068,-76.98698048478468,0.0
76,5809 0085,1532 HOWARD RD SE,DALILA C SCOTT,BARRY FARMS,,13.0,0.0,2018-06-29 00:00:00,195970,"1532 HOWARD RD SE, DC, United States","1532, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8573492, -76.9854002, 0.0)",38.8573492,-76.9854002,0.0
77,5809 0086,1530 HOWARD RD SE,DWAYNE E MURRAY TRUSTEE,BARRY FARMS,,13.0,0.0,2018-11-09 00:00:00,205650,"1530 HOWARD RD SE, DC, United States","1530, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8574048, -76.98541949084958, 0.0)",38.8574048,-76.98541949084958,0.0
78,5809 0087,1528 HOWARD RD SE,LAMONT M MINOR,BARRY FARMS,,13.0,0.0,2011-12-01 00:00:00,194220,"1528 HOWARD RD SE, DC, United States","1528, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.85745815, -76.98550671090473, 0.0)",38.85745815,-76.98550671090473,0.0
79,5809 0088,1526 HOWARD RD SE,SATIRA S STREETER,BARRY FARMS,,13.0,162000.0,2005-02-08 00:00:00,219160,"1526 HOWARD RD SE, DC, United States","1526, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.857477450000005, -76.98555999949073, 0.0)",38.857477450000005,-76.98555999949073,0.0
80,5809 0089,1524 HOWARD RD SE,SHELDON E CLARK,BARRY FARMS,,11.0,295000.0,2015-07-24 00:00:00,331290,"1524 HOWARD RD SE, DC, United States","1524, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.857540099999994, -76.98563907984244, 0.0)",38.857540099999994,-76.98563907984244,0.0
81,5809 0090,1522 HOWARD RD SE,DELISHA JONES,BARRY FARMS,,11.0,158777.0,2011-11-10 00:00:00,234890,"1522 HOWARD RD SE, DC, United States","1522, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8575678, -76.98568398189784, 0.0)",38.8575678,-76.98568398189784,0.0
82,5809 0091,1520 HOWARD RD SE,JOSEPH D FUNNYRE,BARRY FARMS,,11.0,135000.0,2003-07-03 00:00:00,223330,"1520 HOWARD RD SE, DC, United States","1520, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8575891, -76.98573477395493, 0.0)",38.8575891,-76.98573477395493,0.0
83,5809 0092,2326 15TH PL SE,ELLA P COLE,BARRY FARMS,,13.0,0.0,2003-08-27 00:00:00,196390,"2326 15TH PL SE, DC, United States","2326, 15th Place Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8576901, -76.98550167442902, 0.0)",38.8576901,-76.98550167442902,0.0
84,5809 0093,2324 15TH PL SE,INEZ THOMAS,BARRY FARMS,,13.0,0.0,2006-12-07 00:00:00,199180,"2324 15TH PL SE, DC, United States","2324, 15th Place Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.85772335, -76.98546580629909, 0.0)",38.85772335,-76.98546580629909,0.0
85,5809 0094,2322 15TH PL SE,CAROLYN L PIPER,BARRY FARMS,,13.0,0.0,2015-12-10 00:00:00,193650,"2322 15TH PL SE, DC, United States","2322, 15th Place Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.857780950000006, -76.98538384473684, 0.0)",38.857780950000006,-76.98538384473684,0.0
86,5809 0095,2320 15TH PL SE,ABRAHAM DEBOSE JR,BARRY FARMS,,13.0,145000.0,2018-08-13 00:00:00,307010,"2320 15TH PL SE, DC, United States","2320, 15th Place Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8578103, -76.98534301885965, 0.0)",38.8578103,-76.98534301885965,0.0
87,5809 0096,2321 POMEROY RD SE,ELIZABETH G GOLDEN,BARRY FARMS,,11.0,0.0,2016-01-12 00:00:00,196790,"2321 POMEROY RD SE, DC, United States","2321, Pomeroy Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8576419, -76.9851041144309, 0.0)",38.8576419,-76.9851041144309,0.0
