,address,location,point,latitude,longitude,altitude
37,"1214 Barnaby Terrace SE, DC, United States","1214, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8347027, -76.98705566710655, 0.0)",38.8347027,-76.98705566710655,0.0
38,"1216 Barnaby Terrace SE, DC, United States","1216, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83467075, -76.98699562010879, 0.0)",38.83467075,-76.98699562010879,0.0
39,"1218 Barnaby Terrace SE, DC, United States","1218, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.834639249999995, -76.98694801652543, 0.0)",38.834639249999995,-76.98694801652543,0.0
40,"1220 Barnaby Terrace SE, DC, United States","1220, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83460755, -76.986897684978, 0.0)",38.83460755,-76.986897684978,0.0
41,"1222 Barnaby Terrace SE, DC, United States","1222, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.834574450000005, -76.986851300772, 0.0)",38.834574450000005,-76.986851300772,0.0
42,"1224 Barnaby Terrace SE, DC, United States","1224, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8345405, -76.98680510263502, 0.0)",38.8345405,-76.98680510263502,0.0
43,"1226 Barnaby Terrace SE, DC, United States","1226, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83450285, -76.9867538810783, 0.0)",38.83450285,-76.9867538810783,0.0
44,"1228 Barnaby Terrace SE, DC, United States","1228, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.834422, -76.98659776231193, 0.0)",38.834422,-76.98659776231193,0.0
45,"1230 Barnaby Terrace SE, DC, United States","1230, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.834382950000006, -76.98663784189905, 0.0)",38.834382950000006,-76.98663784189905,0.0
46,"1232 Barnaby Terrace SE, DC, United States","1232, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.834347199999996, -76.98667931635396, 0.0)",38.834347199999996,-76.98667931635396,0.0
47,"1234 Barnaby Terrace SE, DC, United States","1234, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83430835, -76.98671909841109, 0.0)",38.83430835,-76.98671909841109,0.0
48,"1236 Barnaby Terrace SE, DC, United States","1236, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8342725, -76.9867658742993, 0.0)",38.8342725,-76.9867658742993,0.0
49,"1238 Barnaby Terrace SE, DC, United States","1238, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83423635, -76.98680816966628, 0.0)",38.83423635,-76.98680816966628,0.0
50,"1240 Barnaby Terrace SE, DC, United States","1240, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83409865, -76.98689729233953, 0.0)",38.83409865,-76.98689729233953,0.0
51,"1242 Barnaby Terrace SE, DC, United States","1242, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83413065, -76.98695434439148, 0.0)",38.83413065,-76.98695434439148,0.0
52,"1244 Barnaby Terrace SE, DC, United States","1244, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83416905, -76.98699593750942, 0.0)",38.83416905,-76.98699593750942,0.0
53,"1246 Barnaby Terrace SE, DC, United States","1246, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8342018, -76.98704187110253, 0.0)",38.8342018,-76.98704187110253,0.0
54,"1248 Barnaby Terrace SE, DC, United States","1248, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.834231700000004, -76.98708061501989, 0.0)",38.834231700000004,-76.98708061501989,0.0
55,"1250 Barnaby Terrace SE, DC, United States","1250, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.834257449999996, -76.98713080469797, 0.0)",38.834257449999996,-76.98713080469797,0.0
56,"1252 Barnaby Terrace SE, DC, United States","1252, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8342909, -76.98717871144501, 0.0)",38.8342909,-76.98717871144501,0.0
57,"1254 Barnaby Terrace SE, DC, United States","1254, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.834327849999994, -76.98723152149546, 0.0)",38.834327849999994,-76.98723152149546,0.0
58,"1256 Barnaby Terrace SE, DC, United States","1256, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8341221, -76.98735911968633, 0.0)",38.8341221,-76.98735911968633,0.0
59,"1258 Barnaby Terrace SE, DC, United States","1258, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8340913, -76.98730191072163, 0.0)",38.8340913,-76.98730191072163,0.0
60,"1260 Barnaby Terrace SE, DC, United States","1260, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8340587, -76.98725431676905, 0.0)",38.8340587,-76.98725431676905,0.0
61,"1262 Barnaby Terrace SE, DC, United States","1262, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.834026699999995, -76.98720564177492, 0.0)",38.834026699999995,-76.98720564177492,0.0
62,"1264 Barnaby Terrace SE, DC, United States","1264, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.833993050000004, -76.98716000470074, 0.0)",38.833993050000004,-76.98716000470074,0.0
63,"1266 Barnaby Terrace SE, DC, United States","1266, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8339595, -76.98711321523828, 0.0)",38.8339595,-76.98711321523828,0.0
64,"1268 Barnaby Terrace SE, DC, United States","1268, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.833921000000004, -76.98706246329968, 0.0)",38.833921000000004,-76.98706246329968,0.0
65,"1270 Barnaby Terrace SE, DC, United States","1270, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.833636549999994, -76.98737344544408, 0.0)",38.833636549999994,-76.98737344544408,0.0
66,"1272 Barnaby Terrace SE, DC, United States","1272, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83366805, -76.98743264411931, 0.0)",38.83366805,-76.98743264411931,0.0
67,"1274 Barnaby Terrace SE, DC, United States","1274, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83370035, -76.9874810628103, 0.0)",38.83370035,-76.9874810628103,0.0
68,"1276 Barnaby Terrace SE, DC, United States","1276, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8337321, -76.98752826163265, 0.0)",38.8337321,-76.98752826163265,0.0
69,"1278 Barnaby Terrace SE, DC, United States","1278, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83376625, -76.9875749550944, 0.0)",38.83376625,-76.9875749550944,0.0
70,"1280 Barnaby Terrace SE, DC, United States","1280, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8338004, -76.98762190391315, 0.0)",38.8338004,-76.98762190391315,0.0
71,"1282 Barnaby Terrace SE, DC, United States","1282, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8338374, -76.98767481098805, 0.0)",38.8338374,-76.98767481098805,0.0
72,"1100 Barnaby Terrace SE, DC, United States","1100, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83473295, -76.988288599691, 0.0)",38.83473295,-76.988288599691,0.0
73,"1102 Barnaby Terrace SE, DC, United States","1102, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83479765, -76.98829841804934, 0.0)",38.83479765,-76.98829841804934,0.0
74,"1104 Barnaby Terrace SE, DC, United States","1104, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.834820449999995, -76.98835039866029, 0.0)",38.834820449999995,-76.98835039866029,0.0
75,"1106 Barnaby Terrace SE, DC, United States","1106, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.834865050000005, -76.98837870153179, 0.0)",38.834865050000005,-76.98837870153179,0.0
76,"1108 Barnaby Terrace SE, DC, United States","1108, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8349107, -76.98840169903481, 0.0)",38.8349107,-76.98840169903481,0.0
77,"1110 Barnaby Terrace SE, DC, United States","1110, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83495535, -76.98843005018804, 0.0)",38.83495535,-76.98843005018804,0.0
78,"1112 Barnaby Terrace SE, DC, United States","1112, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8349781, -76.98823791592594, 0.0)",38.8349781,-76.98823791592594,0.0
79,"1114 Barnaby Terrace SE, DC, United States","1114, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.835000300000004, -76.98817258970605, 0.0)",38.835000300000004,-76.98817258970605,0.0
80,"1116 Barnaby Terrace SE, DC, United States","1116, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83502395, -76.98811617190196, 0.0)",38.83502395,-76.98811617190196,0.0
81,"1118 Barnaby Terrace SE, DC, United States","1118, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8350455, -76.98805902071642, 0.0)",38.8350455,-76.98805902071642,0.0
82,"1120 Barnaby Terrace SE, DC, United States","1120, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8350735, -76.9880065402688, 0.0)",38.8350735,-76.9880065402688,0.0
83,"1122 Barnaby Terrace SE, DC, United States","1122, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83509525, -76.98795333056974, 0.0)",38.83509525,-76.98795333056974,0.0
84,"1124 Barnaby Terrace SE, DC, United States","1124, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8351153, -76.98790223949766, 0.0)",38.8351153,-76.98790223949766,0.0
85,"1126 Barnaby Terrace SE, DC, United States","1126, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8351271, -76.98784347298556, 0.0)",38.8351271,-76.98784347298556,0.0
86,"1128 Barnaby Terrace SE, DC, United States","1128, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83514835, -76.98778722239717, 0.0)",38.83514835,-76.98778722239717,0.0
87,"1130 Barnaby Terrace SE, DC, United States","1130, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8351699, -76.9877306517202, 0.0)",38.8351699,-76.9877306517202,0.0
88,"1132 Barnaby Terrace SE, DC, United States","1132, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8351952, -76.9876765008801, 0.0)",38.8351952,-76.9876765008801,0.0
89,"1134 Barnaby Terrace SE, DC, United States","1134, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.835219300000006, -76.98761250362641, 0.0)",38.835219300000006,-76.98761250362641,0.0
90,"1136 Barnaby Terrace SE, DC, United States","1136, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83508675, -76.9875269846942, 0.0)",38.83508675,-76.9875269846942,0.0
91,"1138 Barnaby Terrace SE, DC, United States","1138, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83505325, -76.98747099665047, 0.0)",38.83505325,-76.98747099665047,0.0
92,"1140 Barnaby Terrace SE, DC, United States","1140, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8350168, -76.98742788279216, 0.0)",38.8350168,-76.98742788279216,0.0
93,"1142 Barnaby Terrace SE, DC, United States","1142, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83497945, -76.98738421042941, 0.0)",38.83497945,-76.98738421042941,0.0
94,"1144 Barnaby Terrace SE, DC, United States","1144, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83493785, -76.98733684765843, 0.0)",38.83493785,-76.98733684765843,0.0
95,"1146 Barnaby Terrace SE, DC, United States","1146, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8348591, -76.98748991585231, 0.0)",38.8348591,-76.98748991585231,0.0
96,"1148 Barnaby Terrace SE, DC, United States","1148, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.834835850000005, -76.9875541992169, 0.0)",38.834835850000005,-76.9875541992169,0.0
97,"1150 Barnaby Terrace SE, DC, United States","1150, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83481045, -76.98760957709689, 0.0)",38.83481045,-76.98760957709689,0.0
98,"1152 Barnaby Terrace SE, DC, United States","1152, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83478945, -76.98766645217253, 0.0)",38.83478945,-76.98766645217253,0.0
99,"1154 Barnaby Terrace SE, DC, United States","1154, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83476785, -76.98772453495141, 0.0)",38.83476785,-76.98772453495141,0.0
100,"1000 Barnaby Terrace SE, DC, United States","1000, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83409, -76.9899470495113, 0.0)",38.83409,-76.9899470495113,0.0
101,"1002 Barnaby Terrace SE, DC, United States","1002, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.834135399999994, -76.98997509957772, 0.0)",38.834135399999994,-76.98997509957772,0.0
102,"1004 Barnaby Terrace SE, DC, United States","1004, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83417695, -76.99001320151162, 0.0)",38.83417695,-76.99001320151162,0.0
103,"1006 Barnaby Terrace SE, DC, United States","1006, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.834221799999995, -76.99004090234249, 0.0)",38.834221799999995,-76.99004090234249,0.0
104,"1008 Barnaby Terrace SE, DC, United States","1008, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8342673, -76.99006186011059, 0.0)",38.8342673,-76.99006186011059,0.0
105,"1010 Barnaby Terrace SE, DC, United States","1010, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.834313699999996, -76.99009274325556, 0.0)",38.834313699999996,-76.99009274325556,0.0
106,"1012 Barnaby Terrace SE, DC, United States","1012, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83433925, -76.98988301351734, 0.0)",38.83433925,-76.98988301351734,0.0
107,"1014 Barnaby Terrace SE, DC, United States","1014, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83436585, -76.98982759318525, 0.0)",38.83436585,-76.98982759318525,0.0
108,"1016 Barnaby Terrace SE, DC, United States","1016, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83438735, -76.98977165349754, 0.0)",38.83438735,-76.98977165349754,0.0
109,"1018 Barnaby Terrace SE, DC, United States","1018, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8344124, -76.98971666327135, 0.0)",38.8344124,-76.98971666327135,0.0
110,"1020 Barnaby Terrace SE, DC, United States","1020, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8344296, -76.98965535251892, 0.0)",38.8344296,-76.98965535251892,0.0
111,"1022 Barnaby Terrace SE, DC, United States","1022, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8344515, -76.9895985611116, 0.0)",38.8344515,-76.9895985611116,0.0
112,"1024 Barnaby Terrace SE, DC, United States","1024, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8345566, -76.98945895175541, 0.0)",38.8345566,-76.98945895175541,0.0
113,"1026 Barnaby Terrace SE, DC, United States","1026, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8345126, -76.98943124797282, 0.0)",38.8345126,-76.98943124797282,0.0
114,"1028 Barnaby Terrace SE, DC, United States","1028, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83447085, -76.98939485243062, 0.0)",38.83447085,-76.98939485243062,0.0
115,"1030 Barnaby Terrace SE, DC, United States","1030, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8344265, -76.98936694729196, 0.0)",38.8344265,-76.98936694729196,0.0
116,"1032 Barnaby Terrace SE, DC, United States","1032, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8343795, -76.98934774976118, 0.0)",38.8343795,-76.98934774976118,0.0
117,"1034 Barnaby Terrace SE, DC, United States","1034, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.834334049999995, -76.98931905377279, 0.0)",38.834334049999995,-76.98931905377279,0.0
118,"1036 Barnaby Terrace SE, DC, United States","1036, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.834469549999994, -76.98896880368426, 0.0)",38.834469549999994,-76.98896880368426,0.0
119,"1038 Barnaby Terrace SE, DC, United States","1038, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.834513349999995, -76.98899639543787, 0.0)",38.834513349999995,-76.98899639543787,0.0
120,"1040 Barnaby Terrace SE, DC, United States","1040, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83455645, -76.98903239620523, 0.0)",38.83455645,-76.98903239620523,0.0
121,"1042 Barnaby Terrace SE, DC, United States","1042, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83459995, -76.98905965281449, 0.0)",38.83459995,-76.98905965281449,0.0
122,"1044 Barnaby Terrace SE, DC, United States","1044, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8346487, -76.98908185095814, 0.0)",38.8346487,-76.98908185095814,0.0
123,"1046 Barnaby Terrace SE, DC, United States","1046, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.83469265, -76.98910945152997, 0.0)",38.83469265,-76.98910945152997,0.0
124,"1048 Barnaby Terrace SE, DC, United States","1048, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8348575, -76.98868379895873, 0.0)",38.8348575,-76.98868379895873,0.0
125,"1050 Barnaby Terrace SE, DC, United States","1050, Barnaby Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America","(38.8348125, -76.98865575367842, 0.0)",38.8348125,-76.98865575367842,0.0
